"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"9601","Native","Native 1",38,"wrap_up","fp","wrap_up fp",6,0,137,137,"Unambiguous","Consistent",137
"9603","Native","Native 1",39,"wrap_up","fp","wrap_up fp",7,0,343,343,"Ambiguous","Inconsistent",343
"9605","Native","Native 1",26,"wrap_up","fp","wrap_up fp",6,0,503,503,"Unambiguous","Consistent",503
"9607","Native","Native 1",34,"wrap_up","fp","wrap_up fp",6,0,377,377,"Unambiguous","Consistent",377
"9609","Native","Native 1",46,"wrap_up","fp","wrap_up fp",6,1,0,NA,"Unambiguous","Consistent",NA
"9611","Native","Native 1",29,"wrap_up","fp","wrap_up fp",5,0,424,424,"Ambiguous","Consistent",424
"9613","Native","Native 1",36,"wrap_up","fp","wrap_up fp",8,0,339,339,"Unambiguous","Inconsistent",339
"9615","Native","Native 1",30,"wrap_up","fp","wrap_up fp",6,0,542,542,"Unambiguous","Consistent",542
"9617","Native","Native 1",40,"wrap_up","fp","wrap_up fp",8,0,186,186,"Unambiguous","Inconsistent",186
"9619","Native","Native 1",33,"wrap_up","fp","wrap_up fp",5,0,196,196,"Ambiguous","Consistent",196
"9621","Native","Native 1",43,"wrap_up","fp","wrap_up fp",7,0,287,287,"Ambiguous","Inconsistent",287
"9623","Native","Native 1",28,"wrap_up","fp","wrap_up fp",8,0,185,185,"Unambiguous","Inconsistent",185
"9625","Native","Native 1",31,"wrap_up","fp","wrap_up fp",7,0,311,311,"Ambiguous","Inconsistent",311
"9627","Native","Native 1",45,"wrap_up","fp","wrap_up fp",5,0,253,253,"Ambiguous","Consistent",253
"9629","Native","Native 1",25,"wrap_up","fp","wrap_up fp",5,0,191,191,"Ambiguous","Consistent",191
"9631","Native","Native 1",41,"wrap_up","fp","wrap_up fp",5,0,1171,1171,"Ambiguous","Consistent",1171
"9633","Native","Native 1",42,"wrap_up","fp","wrap_up fp",6,0,219,219,"Unambiguous","Consistent",219
