"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"32641","Native","Native 1",38,"wrap_up","tt","wrap_up tt",6,0,429,429,"Unambiguous","Consistent",429
"32643","Native","Native 1",39,"wrap_up","tt","wrap_up tt",7,0,343,343,"Ambiguous","Inconsistent",343
"32645","Native","Native 1",26,"wrap_up","tt","wrap_up tt",6,0,503,503,"Unambiguous","Consistent",503
"32647","Native","Native 1",34,"wrap_up","tt","wrap_up tt",6,0,672,672,"Unambiguous","Consistent",672
"32649","Native","Native 1",46,"wrap_up","tt","wrap_up tt",6,0,459,459,"Unambiguous","Consistent",459
"32651","Native","Native 1",29,"wrap_up","tt","wrap_up tt",5,0,424,424,"Ambiguous","Consistent",424
"32653","Native","Native 1",36,"wrap_up","tt","wrap_up tt",8,0,1163,1163,"Unambiguous","Inconsistent",1163
"32655","Native","Native 1",30,"wrap_up","tt","wrap_up tt",6,0,542,542,"Unambiguous","Consistent",542
"32657","Native","Native 1",40,"wrap_up","tt","wrap_up tt",8,0,439,439,"Unambiguous","Inconsistent",439
"32659","Native","Native 1",33,"wrap_up","tt","wrap_up tt",5,0,196,196,"Ambiguous","Consistent",196
"32661","Native","Native 1",43,"wrap_up","tt","wrap_up tt",7,0,598,598,"Ambiguous","Inconsistent",598
"32663","Native","Native 1",28,"wrap_up","tt","wrap_up tt",8,0,185,185,"Unambiguous","Inconsistent",185
"32665","Native","Native 1",31,"wrap_up","tt","wrap_up tt",7,0,311,311,"Ambiguous","Inconsistent",311
"32667","Native","Native 1",45,"wrap_up","tt","wrap_up tt",5,0,495,495,"Ambiguous","Consistent",495
"32669","Native","Native 1",25,"wrap_up","tt","wrap_up tt",5,0,191,191,"Ambiguous","Consistent",191
"32671","Native","Native 1",41,"wrap_up","tt","wrap_up tt",5,0,1385,1385,"Ambiguous","Consistent",1385
"32673","Native","Native 1",42,"wrap_up","tt","wrap_up tt",6,0,219,219,"Unambiguous","Consistent",219
"32675","Native","Native 1",37,"wrap_up","tt","wrap_up tt",5,0,949,949,"Ambiguous","Consistent",949
"32677","Native","Native 1",32,"wrap_up","tt","wrap_up tt",8,0,323,323,"Unambiguous","Inconsistent",323
"32679","Native","Native 1",48,"wrap_up","tt","wrap_up tt",8,0,743,743,"Unambiguous","Inconsistent",743
"32681","Native","Native 1",47,"wrap_up","tt","wrap_up tt",7,0,178,178,"Ambiguous","Inconsistent",178
"32683","Native","Native 1",44,"wrap_up","tt","wrap_up tt",8,0,1090,1090,"Unambiguous","Inconsistent",1090
"32685","Native","Native 1",27,"wrap_up","tt","wrap_up tt",7,0,432,432,"Ambiguous","Inconsistent",432
"32687","Native","Native 1",35,"wrap_up","tt","wrap_up tt",7,1,0,NA,"Ambiguous","Inconsistent",NA
"32689","Native","Native 2",46,"wrap_up","tt","wrap_up tt",7,1,0,NA,"Ambiguous","Inconsistent",NA
"32691","Native","Native 2",25,"wrap_up","tt","wrap_up tt",6,0,154,154,"Unambiguous","Consistent",154
