"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"2","Native","Native 1",24,"disamb","fp","disamb fp",4,0,188,188,"Unambiguous","Mismatch",188
"4","Native","Native 1",12,"disamb","fp","disamb fp",4,0,192,192,"Unambiguous","Mismatch",192
"6","Native","Native 1",6,"disamb","fp","disamb fp",2,0,344,344,"Ambiguous","Mismatch",344
"8","Native","Native 1",7,"disamb","fp","disamb fp",3,0,186,186,"Unambiguous","Match",186
"10","Native","Native 1",14,"disamb","fp","disamb fp",2,0,303,303,"Ambiguous","Mismatch",303
"12","Native","Native 1",21,"disamb","fp","disamb fp",1,0,191,191,"Ambiguous","Match",191
"14","Native","Native 1",19,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match",NA
"16","Native","Native 1",17,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match",NA
"18","Native","Native 1",10,"disamb","fp","disamb fp",2,0,513,513,"Ambiguous","Mismatch",513
"20","Native","Native 1",23,"disamb","fp","disamb fp",3,0,449,449,"Unambiguous","Match",449
"22","Native","Native 1",15,"disamb","fp","disamb fp",3,0,348,348,"Unambiguous","Match",348
"24","Native","Native 1",1,"disamb","fp","disamb fp",1,0,201,201,"Ambiguous","Match",201
"26","Native","Native 1",2,"disamb","fp","disamb fp",2,0,276,276,"Ambiguous","Mismatch",276
"28","Native","Native 1",5,"disamb","fp","disamb fp",1,0,347,347,"Ambiguous","Match",347
"30","Native","Native 1",16,"disamb","fp","disamb fp",4,0,264,264,"Unambiguous","Mismatch",264
"32","Native","Native 1",3,"disamb","fp","disamb fp",3,0,203,203,"Unambiguous","Match",203
"34","Native","Native 1",13,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match",NA
"36","Native","Native 1",11,"disamb","fp","disamb fp",3,0,451,451,"Unambiguous","Match",451
"38","Native","Native 1",9,"disamb","fp","disamb fp",1,0,335,335,"Ambiguous","Match",335
"40","Native","Native 1",8,"disamb","fp","disamb fp",4,0,289,289,"Unambiguous","Mismatch",289
"42","Native","Native 1",4,"disamb","fp","disamb fp",4,0,253,253,"Unambiguous","Mismatch",253
"44","Native","Native 1",20,"disamb","fp","disamb fp",4,0,381,381,"Unambiguous","Mismatch",381
"46","Native","Native 1",18,"disamb","fp","disamb fp",2,0,234,234,"Ambiguous","Mismatch",234
"48","Native","Native 1",22,"disamb","fp","disamb fp",2,0,170,170,"Ambiguous","Mismatch",170
"50","Native","Native 2",14,"disamb","fp","disamb fp",3,0,199,199,"Unambiguous","Match",199
"52","Native","Native 2",4,"disamb","fp","disamb fp",1,0,323,323,"Ambiguous","Match",323
"54","Native","Native 2",19,"disamb","fp","disamb fp",4,0,250,250,"Unambiguous","Mismatch",250
"56","Native","Native 2",1,"disamb","fp","disamb fp",2,0,194,194,"Ambiguous","Mismatch",194
"58","Native","Native 2",5,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch",NA
"60","Native","Native 2",15,"disamb","fp","disamb fp",4,0,178,178,"Unambiguous","Mismatch",178
"62","Native","Native 2",7,"disamb","fp","disamb fp",4,0,177,177,"Unambiguous","Mismatch",177
"64","Native","Native 2",18,"disamb","fp","disamb fp",3,0,210,210,"Unambiguous","Match",210
"66","Native","Native 2",6,"disamb","fp","disamb fp",3,0,369,369,"Unambiguous","Match",369
"68","Native","Native 2",22,"disamb","fp","disamb fp",3,0,302,302,"Unambiguous","Match",302
"70","Native","Native 2",10,"disamb","fp","disamb fp",3,0,552,552,"Unambiguous","Match",552
"72","Native","Native 2",8,"disamb","fp","disamb fp",1,0,307,307,"Ambiguous","Match",307
"74","Native","Native 2",24,"disamb","fp","disamb fp",1,0,448,448,"Ambiguous","Match",448
"76","Native","Native 2",17,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch",NA
"78","Native","Native 2",2,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match",NA
"80","Native","Native 2",11,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch",NA
"82","Native","Native 2",3,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch",NA
"84","Native","Native 2",21,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch",NA
"86","Native","Native 2",20,"disamb","fp","disamb fp",1,0,244,244,"Ambiguous","Match",244
"88","Native","Native 2",16,"disamb","fp","disamb fp",1,0,142,142,"Ambiguous","Match",142
"90","Native","Native 2",13,"disamb","fp","disamb fp",2,0,321,321,"Ambiguous","Mismatch",321
"92","Native","Native 2",9,"disamb","fp","disamb fp",2,0,253,253,"Ambiguous","Mismatch",253
"94","Native","Native 2",12,"disamb","fp","disamb fp",1,0,269,269,"Ambiguous","Match",269
"96","Native","Native 2",23,"disamb","fp","disamb fp",4,0,391,391,"Unambiguous","Mismatch",391
"97","Native","Native 3",11,"disamb","fp","disamb fp",1,0,177,177,"Ambiguous","Match",177
"99","Native","Native 3",21,"disamb","fp","disamb fp",3,0,145,145,"Unambiguous","Match",145
"101","Native","Native 3",2,"disamb","fp","disamb fp",4,0,269,269,"Unambiguous","Mismatch",269
"103","Native","Native 3",20,"disamb","fp","disamb fp",2,0,338,338,"Ambiguous","Mismatch",338
"105","Native","Native 3",9,"disamb","fp","disamb fp",3,0,347,347,"Unambiguous","Match",347
"107","Native","Native 3",4,"disamb","fp","disamb fp",2,0,135,135,"Ambiguous","Mismatch",135
"109","Native","Native 3",3,"disamb","fp","disamb fp",1,0,674,674,"Ambiguous","Match",674
"111","Native","Native 3",1,"disamb","fp","disamb fp",3,0,477,477,"Unambiguous","Match",477
"113","Native","Native 3",13,"disamb","fp","disamb fp",3,0,458,458,"Unambiguous","Match",458
"115","Native","Native 3",18,"disamb","fp","disamb fp",4,0,305,305,"Unambiguous","Mismatch",305
"117","Native","Native 3",7,"disamb","fp","disamb fp",1,0,210,210,"Ambiguous","Match",210
"119","Native","Native 3",5,"disamb","fp","disamb fp",3,0,400,400,"Unambiguous","Match",400
"121","Native","Native 3",15,"disamb","fp","disamb fp",1,0,267,267,"Ambiguous","Match",267
"123","Native","Native 3",16,"disamb","fp","disamb fp",2,0,149,149,"Ambiguous","Mismatch",149
"125","Native","Native 3",8,"disamb","fp","disamb fp",2,0,222,222,"Ambiguous","Mismatch",222
"127","Native","Native 3",22,"disamb","fp","disamb fp",4,0,320,320,"Unambiguous","Mismatch",320
"129","Native","Native 3",17,"disamb","fp","disamb fp",3,0,409,409,"Unambiguous","Match",409
"131","Native","Native 3",19,"disamb","fp","disamb fp",1,0,862,862,"Ambiguous","Match",862
"133","Native","Native 3",23,"disamb","fp","disamb fp",1,0,675,675,"Ambiguous","Match",675
"135","Native","Native 3",14,"disamb","fp","disamb fp",4,0,393,393,"Unambiguous","Mismatch",393
"137","Native","Native 3",24,"disamb","fp","disamb fp",2,0,182,182,"Ambiguous","Mismatch",182
"139","Native","Native 3",10,"disamb","fp","disamb fp",4,0,653,653,"Unambiguous","Mismatch",653
"141","Native","Native 3",12,"disamb","fp","disamb fp",2,0,322,322,"Ambiguous","Mismatch",322
"143","Native","Native 3",6,"disamb","fp","disamb fp",4,0,526,526,"Unambiguous","Mismatch",526
"145","Native","Native 4",21,"disamb","fp","disamb fp",4,0,157,157,"Unambiguous","Mismatch",157
"147","Native","Native 4",14,"disamb","fp","disamb fp",1,0,334,334,"Ambiguous","Match",334
"149","Native","Native 4",22,"disamb","fp","disamb fp",1,0,197,197,"Ambiguous","Match",197
"151","Native","Native 4",11,"disamb","fp","disamb fp",2,0,171,171,"Ambiguous","Mismatch",171
"153","Native","Native 4",15,"disamb","fp","disamb fp",2,0,290,290,"Ambiguous","Mismatch",290
"155","Native","Native 4",23,"disamb","fp","disamb fp",2,0,172,172,"Ambiguous","Mismatch",172
"157","Native","Native 4",18,"disamb","fp","disamb fp",1,0,169,169,"Ambiguous","Match",169
"159","Native","Native 4",6,"disamb","fp","disamb fp",1,0,166,166,"Ambiguous","Match",166
"161","Native","Native 4",10,"disamb","fp","disamb fp",1,0,155,155,"Ambiguous","Match",155
"163","Native","Native 4",12,"disamb","fp","disamb fp",3,0,148,148,"Unambiguous","Match",148
"165","Native","Native 4",19,"disamb","fp","disamb fp",2,0,314,314,"Ambiguous","Mismatch",314
"167","Native","Native 4",1,"disamb","fp","disamb fp",4,0,140,140,"Unambiguous","Mismatch",140
"169","Native","Native 4",20,"disamb","fp","disamb fp",3,0,234,234,"Unambiguous","Match",234
"171","Native","Native 4",16,"disamb","fp","disamb fp",3,0,160,160,"Unambiguous","Match",160
"173","Native","Native 4",2,"disamb","fp","disamb fp",1,0,236,236,"Ambiguous","Match",236
"175","Native","Native 4",5,"disamb","fp","disamb fp",4,0,155,155,"Unambiguous","Mismatch",155
"177","Native","Native 4",17,"disamb","fp","disamb fp",4,0,230,230,"Unambiguous","Mismatch",230
"179","Native","Native 4",24,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match",NA
"181","Native","Native 4",13,"disamb","fp","disamb fp",4,0,422,422,"Unambiguous","Mismatch",422
"183","Native","Native 4",8,"disamb","fp","disamb fp",3,0,214,214,"Unambiguous","Match",214
"185","Native","Native 4",9,"disamb","fp","disamb fp",4,0,440,440,"Unambiguous","Mismatch",440
"187","Native","Native 4",7,"disamb","fp","disamb fp",2,0,208,208,"Ambiguous","Mismatch",208
"189","Native","Native 4",4,"disamb","fp","disamb fp",3,0,346,346,"Unambiguous","Match",346
"191","Native","Native 4",3,"disamb","fp","disamb fp",2,0,439,439,"Ambiguous","Mismatch",439
"194","Native","Native 5",8,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch",NA
"196","Native","Native 5",4,"disamb","fp","disamb fp",4,0,376,376,"Unambiguous","Mismatch",376
"198","Native","Native 5",19,"disamb","fp","disamb fp",3,0,169,169,"Unambiguous","Match",169
"200","Native","Native 5",21,"disamb","fp","disamb fp",1,0,361,361,"Ambiguous","Match",361
"202","Native","Native 5",13,"disamb","fp","disamb fp",1,0,186,186,"Ambiguous","Match",186
"204","Native","Native 5",9,"disamb","fp","disamb fp",1,0,219,219,"Ambiguous","Match",219
"206","Native","Native 5",3,"disamb","fp","disamb fp",3,0,189,189,"Unambiguous","Match",189
"208","Native","Native 5",12,"disamb","fp","disamb fp",4,0,201,201,"Unambiguous","Mismatch",201
"210","Native","Native 5",2,"disamb","fp","disamb fp",2,0,266,266,"Ambiguous","Mismatch",266
"212","Native","Native 5",15,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match",NA
"214","Native","Native 5",5,"disamb","fp","disamb fp",1,0,256,256,"Ambiguous","Match",256
"216","Native","Native 5",7,"disamb","fp","disamb fp",3,0,185,185,"Unambiguous","Match",185
"218","Native","Native 5",22,"disamb","fp","disamb fp",2,0,271,271,"Ambiguous","Mismatch",271
"220","Native","Native 5",17,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match",NA
"222","Native","Native 5",16,"disamb","fp","disamb fp",4,0,228,228,"Unambiguous","Mismatch",228
"224","Native","Native 5",1,"disamb","fp","disamb fp",1,0,299,299,"Ambiguous","Match",299
"226","Native","Native 5",14,"disamb","fp","disamb fp",2,0,201,201,"Ambiguous","Mismatch",201
"228","Native","Native 5",24,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch",NA
"230","Native","Native 5",23,"disamb","fp","disamb fp",3,0,537,537,"Unambiguous","Match",537
"232","Native","Native 5",18,"disamb","fp","disamb fp",2,0,198,198,"Ambiguous","Mismatch",198
"234","Native","Native 5",11,"disamb","fp","disamb fp",3,0,410,410,"Unambiguous","Match",410
"236","Native","Native 5",20,"disamb","fp","disamb fp",4,0,229,229,"Unambiguous","Mismatch",229
"238","Native","Native 5",10,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch",NA
"240","Native","Native 5",6,"disamb","fp","disamb fp",2,0,196,196,"Ambiguous","Mismatch",196
"241","Native","Native 6",12,"disamb","fp","disamb fp",1,0,213,213,"Ambiguous","Match",213
"243","Native","Native 6",14,"disamb","fp","disamb fp",3,0,132,132,"Unambiguous","Match",132
"245","Native","Native 6",5,"disamb","fp","disamb fp",2,0,158,158,"Ambiguous","Mismatch",158
"247","Native","Native 6",22,"disamb","fp","disamb fp",3,0,187,187,"Unambiguous","Match",187
"249","Native","Native 6",15,"disamb","fp","disamb fp",4,0,124,124,"Unambiguous","Mismatch",124
"251","Native","Native 6",17,"disamb","fp","disamb fp",2,0,210,210,"Ambiguous","Mismatch",210
"253","Native","Native 6",3,"disamb","fp","disamb fp",4,0,120,120,"Unambiguous","Mismatch",120
"255","Native","Native 6",2,"disamb","fp","disamb fp",3,0,133,133,"Unambiguous","Match",133
"257","Native","Native 6",9,"disamb","fp","disamb fp",2,0,150,150,"Ambiguous","Mismatch",150
"259","Native","Native 6",8,"disamb","fp","disamb fp",1,0,207,207,"Ambiguous","Match",207
"261","Native","Native 6",24,"disamb","fp","disamb fp",1,0,113,113,"Ambiguous","Match",113
"263","Native","Native 6",11,"disamb","fp","disamb fp",4,0,188,188,"Unambiguous","Mismatch",188
"265","Native","Native 6",16,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match",NA
