"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"26882","Native","Native 1",24,"reflexive","tt","reflexive tt",4,0,177,177,"Unambiguous","Mismatch",177
"26884","Native","Native 1",12,"reflexive","tt","reflexive tt",4,0,654,654,"Unambiguous","Mismatch",654
"26886","Native","Native 1",6,"reflexive","tt","reflexive tt",2,0,324,324,"Ambiguous","Mismatch",324
"26888","Native","Native 1",7,"reflexive","tt","reflexive tt",3,0,661,661,"Unambiguous","Match",661
"26890","Native","Native 1",14,"reflexive","tt","reflexive tt",2,0,463,463,"Ambiguous","Mismatch",463
"26892","Native","Native 1",21,"reflexive","tt","reflexive tt",1,0,383,383,"Ambiguous","Match",383
"26894","Native","Native 1",19,"reflexive","tt","reflexive tt",3,0,346,346,"Unambiguous","Match",346
"26896","Native","Native 1",17,"reflexive","tt","reflexive tt",1,0,547,547,"Ambiguous","Match",547
"26898","Native","Native 1",10,"reflexive","tt","reflexive tt",2,0,592,592,"Ambiguous","Mismatch",592
"26900","Native","Native 1",23,"reflexive","tt","reflexive tt",3,0,926,926,"Unambiguous","Match",926
"26902","Native","Native 1",15,"reflexive","tt","reflexive tt",3,0,487,487,"Unambiguous","Match",487
"26904","Native","Native 1",1,"reflexive","tt","reflexive tt",1,0,317,317,"Ambiguous","Match",317
"26906","Native","Native 1",2,"reflexive","tt","reflexive tt",2,0,659,659,"Ambiguous","Mismatch",659
"26908","Native","Native 1",5,"reflexive","tt","reflexive tt",1,0,179,179,"Ambiguous","Match",179
"26910","Native","Native 1",16,"reflexive","tt","reflexive tt",4,0,448,448,"Unambiguous","Mismatch",448
"26912","Native","Native 1",3,"reflexive","tt","reflexive tt",3,0,224,224,"Unambiguous","Match",224
"26914","Native","Native 1",13,"reflexive","tt","reflexive tt",1,0,1196,1196,"Ambiguous","Match",1196
"26916","Native","Native 1",11,"reflexive","tt","reflexive tt",3,0,191,191,"Unambiguous","Match",191
"26918","Native","Native 1",9,"reflexive","tt","reflexive tt",1,0,203,203,"Ambiguous","Match",203
"26920","Native","Native 1",8,"reflexive","tt","reflexive tt",4,0,397,397,"Unambiguous","Mismatch",397
"26922","Native","Native 1",4,"reflexive","tt","reflexive tt",4,0,531,531,"Unambiguous","Mismatch",531
"26924","Native","Native 1",20,"reflexive","tt","reflexive tt",4,0,898,898,"Unambiguous","Mismatch",898
"26926","Native","Native 1",18,"reflexive","tt","reflexive tt",2,0,407,407,"Ambiguous","Mismatch",407
"26928","Native","Native 1",22,"reflexive","tt","reflexive tt",2,0,763,763,"Ambiguous","Mismatch",763
"26930","Native","Native 2",14,"reflexive","tt","reflexive tt",3,0,527,527,"Unambiguous","Match",527
"26932","Native","Native 2",4,"reflexive","tt","reflexive tt",1,1,0,NA,"Ambiguous","Match",NA
"26934","Native","Native 2",19,"reflexive","tt","reflexive tt",4,0,401,401,"Unambiguous","Mismatch",401
"26936","Native","Native 2",1,"reflexive","tt","reflexive tt",2,0,263,263,"Ambiguous","Mismatch",263
