"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"17282","Native","Native 1",24,"spillover2","rp","spillover2 rp",4,0,500,500,"Unambiguous","Mismatch",500
"17284","Native","Native 1",12,"spillover2","rp","spillover2 rp",4,0,3463,3463,"Unambiguous","Mismatch",3463
"17286","Native","Native 1",6,"spillover2","rp","spillover2 rp",2,0,1608,1608,"Ambiguous","Mismatch",1608
"17288","Native","Native 1",7,"spillover2","rp","spillover2 rp",3,0,2258,2258,"Unambiguous","Match",2258
"17290","Native","Native 1",14,"spillover2","rp","spillover2 rp",2,0,644,644,"Ambiguous","Mismatch",644
"17292","Native","Native 1",21,"spillover2","rp","spillover2 rp",1,0,5010,5010,"Ambiguous","Match",5010
"17294","Native","Native 1",19,"spillover2","rp","spillover2 rp",3,0,668,668,"Unambiguous","Match",668
"17296","Native","Native 1",17,"spillover2","rp","spillover2 rp",1,0,648,648,"Ambiguous","Match",648
"17298","Native","Native 1",10,"spillover2","rp","spillover2 rp",2,0,2462,2462,"Ambiguous","Mismatch",2462
"17300","Native","Native 1",23,"spillover2","rp","spillover2 rp",3,0,359,359,"Unambiguous","Match",359
"17302","Native","Native 1",15,"spillover2","rp","spillover2 rp",3,0,2101,2101,"Unambiguous","Match",2101
"17304","Native","Native 1",1,"spillover2","rp","spillover2 rp",1,0,593,593,"Ambiguous","Match",593
"17306","Native","Native 1",2,"spillover2","rp","spillover2 rp",2,0,1006,1006,"Ambiguous","Mismatch",1006
"17308","Native","Native 1",5,"spillover2","rp","spillover2 rp",1,0,515,515,"Ambiguous","Match",515
"17310","Native","Native 1",16,"spillover2","rp","spillover2 rp",4,0,1693,1693,"Unambiguous","Mismatch",1693
"17312","Native","Native 1",3,"spillover2","rp","spillover2 rp",3,0,760,760,"Unambiguous","Match",760
"17314","Native","Native 1",13,"spillover2","rp","spillover2 rp",1,0,659,659,"Ambiguous","Match",659
"17316","Native","Native 1",11,"spillover2","rp","spillover2 rp",3,0,695,695,"Unambiguous","Match",695
"17318","Native","Native 1",9,"spillover2","rp","spillover2 rp",1,0,1431,1431,"Ambiguous","Match",1431
"17320","Native","Native 1",8,"spillover2","rp","spillover2 rp",4,0,4239,4239,"Unambiguous","Mismatch",4239
"17322","Native","Native 1",4,"spillover2","rp","spillover2 rp",4,0,1217,1217,"Unambiguous","Mismatch",1217
"17324","Native","Native 1",20,"spillover2","rp","spillover2 rp",4,0,776,776,"Unambiguous","Mismatch",776
"17326","Native","Native 1",18,"spillover2","rp","spillover2 rp",2,0,467,467,"Ambiguous","Mismatch",467
"17328","Native","Native 1",22,"spillover2","rp","spillover2 rp",2,0,567,567,"Ambiguous","Mismatch",567
"17330","Native","Native 2",14,"spillover2","rp","spillover2 rp",3,0,738,738,"Unambiguous","Match",738
"17332","Native","Native 2",4,"spillover2","rp","spillover2 rp",1,0,431,431,"Ambiguous","Match",431
"17334","Native","Native 2",19,"spillover2","rp","spillover2 rp",4,0,533,533,"Unambiguous","Mismatch",533
"17336","Native","Native 2",1,"spillover2","rp","spillover2 rp",2,0,421,421,"Ambiguous","Mismatch",421
"17338","Native","Native 2",5,"spillover2","rp","spillover2 rp",2,0,3116,3116,"Ambiguous","Mismatch",3116
"17340","Native","Native 2",15,"spillover2","rp","spillover2 rp",4,0,122,122,"Unambiguous","Mismatch",122
"17342","Native","Native 2",7,"spillover2","rp","spillover2 rp",4,0,1329,1329,"Unambiguous","Mismatch",1329
"17344","Native","Native 2",18,"spillover2","rp","spillover2 rp",3,0,452,452,"Unambiguous","Match",452
"17346","Native","Native 2",6,"spillover2","rp","spillover2 rp",3,0,439,439,"Unambiguous","Match",439
"17348","Native","Native 2",22,"spillover2","rp","spillover2 rp",3,0,404,404,"Unambiguous","Match",404
"17350","Native","Native 2",10,"spillover2","rp","spillover2 rp",3,0,311,311,"Unambiguous","Match",311
"17352","Native","Native 2",8,"spillover2","rp","spillover2 rp",1,0,2141,2141,"Ambiguous","Match",2141
"17354","Native","Native 2",24,"spillover2","rp","spillover2 rp",1,0,125,125,"Ambiguous","Match",125
"17356","Native","Native 2",17,"spillover2","rp","spillover2 rp",2,0,1612,1612,"Ambiguous","Mismatch",1612
"17358","Native","Native 2",2,"spillover2","rp","spillover2 rp",3,0,301,301,"Unambiguous","Match",301
"17360","Native","Native 2",11,"spillover2","rp","spillover2 rp",4,0,282,282,"Unambiguous","Mismatch",282
"17362","Native","Native 2",3,"spillover2","rp","spillover2 rp",4,0,328,328,"Unambiguous","Mismatch",328
"17364","Native","Native 2",21,"spillover2","rp","spillover2 rp",2,0,124,124,"Ambiguous","Mismatch",124
"17366","Native","Native 2",20,"spillover2","rp","spillover2 rp",1,0,378,378,"Ambiguous","Match",378
"17368","Native","Native 2",16,"spillover2","rp","spillover2 rp",1,1,0,NA,"Ambiguous","Match",NA
"17370","Native","Native 2",13,"spillover2","rp","spillover2 rp",2,0,645,645,"Ambiguous","Mismatch",645
"17372","Native","Native 2",9,"spillover2","rp","spillover2 rp",2,0,5711,5711,"Ambiguous","Mismatch",NA
"17374","Native","Native 2",12,"spillover2","rp","spillover2 rp",1,0,447,447,"Ambiguous","Match",447
"17376","Native","Native 2",23,"spillover2","rp","spillover2 rp",4,0,818,818,"Unambiguous","Mismatch",818
"17377","Native","Native 3",11,"spillover2","rp","spillover2 rp",1,0,446,446,"Ambiguous","Match",446
"17379","Native","Native 3",21,"spillover2","rp","spillover2 rp",3,0,802,802,"Unambiguous","Match",802
"17381","Native","Native 3",2,"spillover2","rp","spillover2 rp",4,0,611,611,"Unambiguous","Mismatch",611
"17383","Native","Native 3",20,"spillover2","rp","spillover2 rp",2,0,400,400,"Ambiguous","Mismatch",400
"17385","Native","Native 3",9,"spillover2","rp","spillover2 rp",3,0,869,869,"Unambiguous","Match",869
"17387","Native","Native 3",4,"spillover2","rp","spillover2 rp",2,0,3340,3340,"Ambiguous","Mismatch",3340
"17389","Native","Native 3",3,"spillover2","rp","spillover2 rp",1,0,583,583,"Ambiguous","Match",583
"17391","Native","Native 3",1,"spillover2","rp","spillover2 rp",3,0,525,525,"Unambiguous","Match",525
"17393","Native","Native 3",13,"spillover2","rp","spillover2 rp",3,0,535,535,"Unambiguous","Match",535
"17395","Native","Native 3",18,"spillover2","rp","spillover2 rp",4,0,376,376,"Unambiguous","Mismatch",376
"17397","Native","Native 3",7,"spillover2","rp","spillover2 rp",1,0,2475,2475,"Ambiguous","Match",2475
"17399","Native","Native 3",5,"spillover2","rp","spillover2 rp",3,0,829,829,"Unambiguous","Match",829
"17401","Native","Native 3",15,"spillover2","rp","spillover2 rp",1,0,221,221,"Ambiguous","Match",221
"17403","Native","Native 3",16,"spillover2","rp","spillover2 rp",2,0,493,493,"Ambiguous","Mismatch",493
"17405","Native","Native 3",8,"spillover2","rp","spillover2 rp",2,0,1268,1268,"Ambiguous","Mismatch",1268
"17407","Native","Native 3",22,"spillover2","rp","spillover2 rp",4,0,956,956,"Unambiguous","Mismatch",956
"17409","Native","Native 3",17,"spillover2","rp","spillover2 rp",3,0,473,473,"Unambiguous","Match",473
"17411","Native","Native 3",19,"spillover2","rp","spillover2 rp",1,0,532,532,"Ambiguous","Match",532
"17413","Native","Native 3",23,"spillover2","rp","spillover2 rp",1,0,979,979,"Ambiguous","Match",979
"17415","Native","Native 3",14,"spillover2","rp","spillover2 rp",4,0,1950,1950,"Unambiguous","Mismatch",1950
"17417","Native","Native 3",24,"spillover2","rp","spillover2 rp",2,0,471,471,"Ambiguous","Mismatch",471
"17419","Native","Native 3",10,"spillover2","rp","spillover2 rp",4,0,2063,2063,"Unambiguous","Mismatch",2063
"17421","Native","Native 3",12,"spillover2","rp","spillover2 rp",2,0,4100,4100,"Ambiguous","Mismatch",4100
"17423","Native","Native 3",6,"spillover2","rp","spillover2 rp",4,0,1088,1088,"Unambiguous","Mismatch",1088
"17425","Native","Native 4",21,"spillover2","rp","spillover2 rp",4,0,332,332,"Unambiguous","Mismatch",332
"17427","Native","Native 4",14,"spillover2","rp","spillover2 rp",1,0,307,307,"Ambiguous","Match",307
"17429","Native","Native 4",22,"spillover2","rp","spillover2 rp",1,0,309,309,"Ambiguous","Match",309
"17431","Native","Native 4",11,"spillover2","rp","spillover2 rp",2,0,281,281,"Ambiguous","Mismatch",281
"17433","Native","Native 4",15,"spillover2","rp","spillover2 rp",2,0,152,152,"Ambiguous","Mismatch",152
"17435","Native","Native 4",23,"spillover2","rp","spillover2 rp",2,0,287,287,"Ambiguous","Mismatch",287
"17437","Native","Native 4",18,"spillover2","rp","spillover2 rp",1,0,497,497,"Ambiguous","Match",497
